state_index,seqid,raft,sensor,detector_id,detector_name,focal_x_mm,focal_y_mm,focal_r_mm
944,11179,R20,S10,75,R20_S10,-296.26,-0.01,296.26
944,11179,R21,S02,83,R21_S02,-84.75,-42.25,94.6975
944,11179,R22,S22,98,R22_S22,42.25,42.25,59.7505
944,11179,R23,S01,100,R23_S01,127.0,-42.25,133.8434
944,11179,R24,S21,115,R24_S21,254.0,42.25,257.4899
944,11179,R30,S22,125,R30_S22,-211.75,169.25,271.0786
944,11179,R31,S02,128,R31_S02,-84.75,84.75,119.8546
944,11179,R32,S12,140,R32_S12,42.25,127.0,133.8434
944,11179,R33,S01,145,R33_S01,127.0,84.75,152.6812
944,11179,R34,S11,157,R34_S11,254.0,127.0,283.9806
944,11179,R41,S10,165,R41_S10,-169.26,253.99,305.221
944,11179,R42,S12,176,R42_S12,42.24,253.99,257.4784
944,11179,R43,S00,180,R43_S00,84.74,211.74,228.0673
945,11190,R01,S02,2,R01_S02,-84.76,-296.26,308.1465
945,11190,R02,S11,13,R02_S11,-0.01,-254.01,254.01
945,11190,R03,S01,19,R03_S01,126.99,-296.26,322.3297
945,11190,R10,S10,30,R10_S10,-296.26,-127.01,322.3376
945,11190,R11,S01,37,R11_S01,-127.0,-169.25,211.6
945,11190,R12,S22,53,R12_S22,42.25,-84.75,94.6975
945,11190,R13,S02,56,R13_S02,169.25,-169.25,239.3556
945,11190,R14,S02,65,R14_S02,296.25,-169.25,341.1885
945,11190,R20,S20,78,R20_S20,-296.26,42.24,299.2561
945,11190,R21,S10,84,R21_S10,-169.25,0.0,169.25
945,11190,R22,S11,94,R22_S11,0.0,0.0,0.0
945,11190,R23,S11,103,R23_S11,127.0,0.0,127.0
945,11190,R24,S22,116,R24_S22,296.25,42.25,299.2476
945,11190,R30,S02,119,R30_S02,-211.75,84.75,228.0803
945,11190,R31,S11,130,R31_S11,-127.0,127.0,179.6051
945,11190,R32,S20,141,R32_S20,-42.25,169.25,174.4438
945,11190,R33,S01,145,R33_S01,127.0,84.75,152.6812
945,11190,R34,S20,159,R34_S20,211.75,169.25,271.0786
945,11190,R41,S10,165,R41_S10,-169.26,253.99,305.221
945,11190,R42,S02,173,R42_S02,42.24,211.74,215.9121
945,11190,R43,S02,182,R43_S02,169.24,211.74,271.0646
946,11197,R01,S00,0,R01_S00,-169.26,-296.26,341.2022
946,11197,R02,S21,16,R02_S21,-0.01,-211.76,211.76
946,11197,R03,S20,24,R03_S20,84.74,-211.76,228.0859
946,11197,R10,S12,32,R10_S12,-211.76,-127.01,246.9288
946,11197,R11,S01,37,R11_S01,-127.0,-169.25,211.6
946,11197,R12,S02,47,R12_S02,42.25,-169.25,174.4438
946,11197,R13,S20,60,R13_S20,84.75,-84.75,119.8546
946,11197,R14,S00,63,R14_S00,211.75,-169.25,271.0786
946,11197,R20,S10,75,R20_S10,-296.26,-0.01,296.26
946,11197,R21,S02,83,R21_S02,-84.75,-42.25,94.6975
946,11197,R22,S21,97,R22_S21,0.0,42.25,42.25
946,11197,R23,S20,105,R23_S20,84.75,42.25,94.6975
946,11197,R24,S11,112,R24_S11,254.0,0.0,254.0
946,11197,R30,S12,122,R30_S12,-211.75,127.0,246.9151
946,11197,R31,S02,128,R31_S02,-84.75,84.75,119.8546
946,11197,R32,S11,139,R32_S11,0.0,127.0,127.0
946,11197,R33,S01,145,R33_S01,127.0,84.75,152.6812
946,11197,R34,S02,155,R34_S02,296.25,84.75,308.1341
